year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1910,"У денежного шкафа, или Страшная смерть дисконтера","Травин, Петр Александрович",m,PREP ADJF NOUN CONJ ADJF NOUN NOUN,PREP ADJF/PRTF NOUN CONJ ADJF/PRTF NOUN NOUN,,0,
1910,Ночью,"Тыркова, Ариандна Владимировна",f,ADVB,ADVB,,0,
1910,Две жизни. Молодость Муханова,"Фонвизин, Сергей Иванович",m,NUMR NOUN NOUN NOUN,NUMR NOUN NOUN NOUN,,0,
1910,Дети земли,"Форш, Ольга Дмитриевна",f,NOUN NOUN,NOUN NOUN,,0,3 лицо
1910,Наследник Субботина,"Шлиппенбах, Габриэль",m,NOUN NOUN,NOUN NOUN,,0,
1910,Жар-птица,"Ясинский, Иероним Иеронимович",m,NOUN,NOUN,,0,
1911,Сашка Жегулев,"Андреев, Леонид Николаевич",m,NOUN NOUN,NOUN NOUN,ироническая фантастика,0,3 лицо
1911,Король тайги,"Белецкий, Павел Кузьмич",m,NOUN NOUN,NOUN NOUN,Авантюрный,0, 
1911,Молодежь,"Брусянин, Василий Васильевич",m,NOUN,NOUN,исторический,0,3 лицо
1911,Алтарь Победы,"Брюсов, Валерий Яковлевич",m,NOUN NOUN,NOUN NOUN,"символистский, исторический",1,1 лицо
1911,Колычевская вотчина,"Веселкова-Кильштет, Мария Григорьевна",f,ADJF NOUN,ADJF/PRTF NOUN,"Исторический, семейная хроника",0,3 лицо
1911,Честность с собой,"Винниченко, Владимир Кириллович",m,NOUN PREP NPRO,NOUN PREP NPRO, ,0, 
1911,Чертова кукла,"Гиппиус, Зинаида Николаевна",f,ADJF NOUN,ADJF/PRTF NOUN,социально-психологический,0,3 лицо
1911,Николай Жаров,"Данилин, Иван Андреевич",m,NOUN NOUN,NOUN NOUN,Социально-психологический,0, 
1911,Последний фаворит. Екатерина II и Зубов,"Жданов, Лев ",m,ADJF NOUN NOUN NUMR CONJ NOUN,ADJF/PRTF NOUN NOUN NUMR CONJ NOUN,исторический,0,3 лицо
1911,Царь и опричники,"Жданов, Лев ",m,NOUN CONJ NOUN,NOUN CONJ NOUN,исторический,0, 
1911,Летающий пономарь,"Зарин, Федор Ефимович",m,PRTF NOUN,ADJF/PRTF NOUN,исторический,0,3 лицо
